ticker,company_name,signal_date,cluster_start,cluster_end,total_usd,unique_insiders,market_cap_m,mcap_band,near_52w_low,shares_approximate,entry_price,outcome_7d,outcome_10d,outcome_30d,outcome_7d_date,outcome_10d_date,outcome_30d_date,delisted_or_acquired,notes,iwm_30d,alpha_30d,alpha_win,year
VICI,Vici Properties Inc.,2018-02-05,2018-02-01,2018-02-01,1224000,3,4791.6,$500M-$5B,True,False,13.21030330657959,-4.49,-3.17,-4.34,2018-02-12,2018-02-15,2018-03-07,False,,5.9627,-10.3027,False,2018
BCO,Brinks Co,2018-02-09,2018-02-08,2018-02-08,981730,2,2872.0,$500M-$5B,False,True,67.6749496459961,2.65,1.09,-2.78,2018-02-16,2018-02-20,2018-03-12,False,,8.469,-11.248999999999999,False,2018
VCTR,"Victory Capital Holdings, Inc.",2018-02-12,2018-02-08,2018-02-08,383315,2,694.9,$500M-$5B,False,False,10.72618579864502,1.56,1.64,-3.6,2018-02-20,2018-02-22,2018-03-14,False,,6.4457,-10.0457,False,2018
XTNT,"Xtant Medical Holdings, Inc.",2018-02-26,2018-02-14,2018-02-14,13619794,2,963.7,$500M-$5B,False,True,7.050000190734863,-13.62,-12.06,3.4,2018-03-05,2018-03-08,2018-03-28,False,,-2.7956,6.1956,True,2018
PRIM,Primoris Services Corp,2018-02-27,2018-02-26,2018-02-26,274064,2,1240.5,$500M-$5B,True,True,23.16206359863281,4.46,4.42,0.56,2018-03-06,2018-03-09,2018-03-29,False,,-0.3794,0.9394,True,2018
CRVS,"Corvus Pharmaceuticals, Inc.",2018-03-14,2018-03-12,2018-03-12,20849991,4,886.3,$500M-$5B,False,True,10.010000228881836,2.2,11.99,10.89,2018-03-21,2018-03-26,2018-04-13,False,,-2.1587,13.0487,True,2018
RDN,Radian Group Inc,2018-05-01,2018-04-30,2018-04-30,578660,2,1738.4,$500M-$5B,True,True,12.674678802490234,4.67,2.72,3.13,2018-05-08,2018-05-11,2018-05-31,False,,5.6467,-2.5167,False,2018
CLBK,"Columbia Financial, Inc.",2018-05-01,2018-04-19,2018-04-30,1951045,4,1799.8,$500M-$5B,False,False,15.550000190734863,0.45,2.77,9.2,2018-05-08,2018-05-11,2018-05-31,False,,5.6467,3.5532999999999992,True,2018
INSP,"Inspire Medical Systems, Inc.",2018-05-09,2018-05-07,2018-05-07,10000000,3,486.8,$200M-$500M,False,False,25.51000022888184,26.38,31.13,33.12,2018-05-16,2018-05-21,2018-06-08,False,,4.9408,28.179199999999998,True,2018
EFC,Ellington Financial LLC,2018-05-15,2018-05-10,2018-05-11,1640089,2,793.5,$500M-$5B,False,True,6.357631683349609,0.37,1.31,1.1,2018-05-22,2018-05-25,2018-06-14,False,,5.3372,-4.2372,False,2018
SRRK,Scholar Rock Holding Corp,2018-05-31,2018-05-29,2018-05-29,11299988,4,427.5,$200M-$500M,False,False,19.649999618530277,-1.78,-11.91,-24.53,2018-06-07,2018-06-11,2018-07-02,False,,1.3086,-25.8386,False,2018
ITRM,Iterum Therapeutics Plc,2018-05-31,2018-05-30,2018-05-30,42745417,6,2395.4,$500M-$5B,False,False,183.6000061035156,-1.96,-1.96,-19.53,2018-06-07,2018-06-11,2018-07-02,False,,1.3086,-20.8386,False,2018
REPL,"Replimune Group, Inc.",2018-07-26,2018-07-24,2018-07-24,7999995,3,462.6,$200M-$500M,False,False,15.0,9.07,5.47,12.0,2018-08-02,2018-08-06,2018-08-27,False,,2.0427,9.9573,True,2018
BE,Bloom Energy Corp,2018-07-31,2018-07-27,2018-07-27,39999990,2,2444.8,$500M-$5B,False,False,23.5,16.81,17.66,22.34,2018-08-07,2018-08-10,2018-08-30,False,,3.9127,18.4273,True,2018
LOB,"Live Oak Bancshares, Inc.",2018-08-06,2018-07-30,2018-08-03,3942754,2,1328.4,$500M-$5B,False,True,28.520183563232425,0.0,0.34,2.04,2018-08-13,2018-08-16,2018-09-05,False,,2.6715,-0.6315,False,2018
GHC,Graham Holdings Co,2018-08-07,2018-08-02,2018-08-02,3552396,2,2261.1,$500M-$5B,True,True,523.916015625,-1.62,0.6,-1.67,2018-08-14,2018-08-17,2018-09-06,False,,1.735,-3.4050000000000002,False,2018
VECO,Veeco Instruments Inc,2018-08-10,2018-08-09,2018-08-10,217656,2,695.8,$500M-$5B,True,True,11.449999809265137,-5.24,-4.37,-5.41,2018-08-17,2018-08-20,2018-09-10,False,,1.922,-7.332,False,2018
EPRT,"Essential Properties Realty Trust, Inc.",2018-08-23,2018-08-17,2018-08-22,254347,2,641.2,$500M-$5B,True,False,10.265303611755373,-1.79,-1.37,-2.47,2018-08-30,2018-09-04,2018-09-24,False,,-0.5215,-1.9485000000000001,False,2018
LILA,Liberty Latin America Ltd.,2018-08-27,2018-08-22,2018-08-23,2354199,2,2987.2,$500M-$5B,True,False,18.152685165405277,2.86,5.04,10.96,2018-09-04,2018-09-06,2018-09-26,False,,-1.9577,12.9177,True,2018
ASB,Associated Banc-Corp,2018-09-21,2018-09-19,2018-09-19,4850000,2,3796.9,$500M-$5B,False,True,19.948915481567383,-2.62,-3.56,-15.43,2018-09-28,2018-10-01,2018-10-22,False,,-9.9554,-5.474600000000001,False,2018
SSP,E.W. Scripps Co,2018-10-02,2018-09-18,2018-10-02,1151559,3,1077.5,$500M-$5B,False,True,11.896519660949709,2.5,-1.65,5.55,2018-10-09,2018-10-12,2018-11-01,False,,-6.71,12.26,True,2018
SSP,E.W. Scripps Co,2018-10-03,2018-09-19,2018-10-03,1224673,3,1087.5,$500M-$5B,False,True,11.896519660949709,-0.24,-0.24,4.82,2018-10-10,2018-10-15,2018-11-02,False,,-7.2122,12.0322,True,2018
ARVN,Arvinas Inc.,2018-10-03,2018-10-01,2018-10-01,5480000,2,503.3,$500M-$5B,False,False,15.399999618530272,-6.23,-2.6,15.06,2018-10-10,2018-10-15,2018-11-02,False,,-7.2122,22.2722,True,2018
SSP,E.W. Scripps Co,2018-10-09,2018-09-20,2018-10-04,1509492,3,1114.6,$500M-$5B,False,True,11.86750316619873,1.28,5.26,8.44,2018-10-16,2018-10-19,2018-11-08,False,,-2.6056,11.0456,True,2018
SSP,E.W. Scripps Co,2018-10-10,2018-09-25,2018-10-09,1451724,3,1084.8,$500M-$5B,False,True,11.635376930236816,4.11,9.66,5.05,2018-10-17,2018-10-22,2018-11-09,False,,-1.584,6.634,True,2018
SSP,E.W. Scripps Co,2018-10-11,2018-09-26,2018-10-10,1504735,3,1063.6,$500M-$5B,False,True,11.700664520263672,5.77,9.05,8.18,2018-10-18,2018-10-22,2018-11-12,False,,-1.654,9.834,True,2018
SSP,E.W. Scripps Co,2018-10-16,2018-10-02,2018-10-16,2016141,3,1098.7,$500M-$5B,False,True,12.114139556884766,3.35,-4.49,3.89,2018-10-23,2018-10-26,2018-11-15,False,,-4.4503,8.340300000000001,True,2018
ALLO,"Allogene Therapeutics, Inc.",2018-10-17,2018-10-15,2018-10-15,1350000,2,2957.4,$500M-$5B,False,False,23.799999237060547,-5.46,-3.28,17.56,2018-10-24,2018-10-29,2018-11-16,False,,-3.8111,21.3711,True,2018
SSP,E.W. Scripps Co,2018-10-18,2018-10-03,2018-10-17,2050629,3,1131.2,$500M-$5B,False,True,12.491345405578612,-4.99,-7.38,0.23,2018-10-25,2018-10-29,2018-11-19,False,,-3.9613,4.1913,True,2018
PLAG,Planet Green Holdings Corp.,2018-10-18,2018-10-16,2018-10-16,10000004,2,380.0,$200M-$500M,False,True,115.0999984741211,-59.86,-55.26,-67.59,2018-10-25,2018-10-29,2018-11-19,False,,-3.9613,-63.6287,False,2018
SSP,E.W. Scripps Co,2018-10-19,2018-10-04,2018-10-18,2342287,3,1141.8,$500M-$5B,False,True,12.75974178314209,-9.32,-9.32,-1.88,2018-10-26,2018-10-29,2018-11-19,False,,-2.9343,1.0543,True,2018
KRYS,"Krystal Biotech, Inc.",2018-10-22,2018-10-18,2018-10-18,1000000,2,622.6,$500M-$5B,False,True,21.209999084472656,-11.55,10.8,-2.78,2018-10-29,2018-11-01,2018-11-21,False,,-3.2673,0.4873000000000003,True,2018
SSP,E.W. Scripps Co,2018-10-24,2018-10-09,2018-10-23,2154029,3,1065.6,$500M-$5B,False,True,11.86750316619873,2.81,6.48,4.1,2018-10-31,2018-11-05,2018-11-23,False,,1.3292,2.7707999999999995,True,2018
SSP,E.W. Scripps Co,2018-10-24,2018-10-10,2018-10-24,2152136,3,1065.6,$500M-$5B,False,True,11.86750316619873,2.81,6.48,4.1,2018-10-31,2018-11-05,2018-11-23,False,,1.3292,2.7707999999999995,True,2018
SSP,E.W. Scripps Co,2018-10-26,2018-10-11,2018-10-25,2372090,3,1057.6,$500M-$5B,False,True,11.57009220123291,7.77,9.22,6.65,2018-11-02,2018-11-05,2018-11-26,False,,1.5799,5.0701,True,2018
SSP,E.W. Scripps Co,2018-10-30,2018-10-16,2018-10-30,2164912,3,1096.1,$500M-$5B,False,True,12.201186180114746,4.64,0.18,4.93,2018-11-06,2018-11-09,2018-11-29,False,,1.4025,3.5275,True,2018
SSP,E.W. Scripps Co,2018-11-02,2018-10-18,2018-11-01,2179361,3,1139.8,$500M-$5B,False,True,12.636425018310549,-3.27,0.17,1.38,2018-11-09,2018-11-12,2018-12-03,False,,0.052,1.3279999999999998,True,2018
SSP,E.W. Scripps Co,2018-11-07,2018-10-23,2018-11-06,1941774,3,1173.7,$500M-$5B,False,True,12.868553161621094,-3.33,-2.71,-4.96,2018-11-14,2018-11-19,2018-12-07,False,,-8.5065,3.546500000000001,True,2018
SSP,E.W. Scripps Co,2018-11-08,2018-10-24,2018-11-07,1974761,3,1176.3,$500M-$5B,False,True,12.222949028015137,2.97,2.43,-1.66,2018-11-15,2018-11-19,2018-12-10,False,,-8.5292,6.869199999999999,True,2018
SSP,E.W. Scripps Co,2018-11-09,2018-10-25,2018-11-08,2274481,3,1117.3,$500M-$5B,False,True,12.658187866210938,0.23,-1.09,-5.04,2018-11-16,2018-11-19,2018-12-10,False,,-6.8017,1.7617000000000003,True,2018
VAC,Marriott Vacations Worldwide Corp,2018-11-13,2018-11-09,2018-11-12,651653,2,2980.9,$500M-$5B,True,False,64.08735656738281,-4.27,-0.42,-4.85,2018-11-20,2018-11-23,2018-12-13,False,,-5.1677,0.3177000000000003,True,2018
SSP,E.W. Scripps Co,2018-11-13,2018-10-30,2018-11-13,2127818,3,1021.8,$500M-$5B,False,False,12.440568923950195,-2.92,-0.7,-2.69,2018-11-20,2018-11-23,2018-12-13,False,,-5.1677,2.4777,True,2018
ECPG,Encore Capital Group Inc,2018-11-13,2018-11-09,2018-11-09,784050,2,830.5,$500M-$5B,True,False,26.950000762939453,-4.97,0.15,-15.18,2018-11-20,2018-11-23,2018-12-13,False,,-5.1677,-10.0123,False,2018
SSP,E.W. Scripps Co,2018-11-16,2018-11-01,2018-11-15,2791411,3,1023.5,$500M-$5B,False,False,12.520360946655272,-1.33,-1.45,-7.73,2018-11-23,2018-11-26,2018-12-17,False,,-9.5178,1.787799999999999,True,2018
SSP,E.W. Scripps Co,2018-11-21,2018-11-06,2018-11-20,2627696,3,1001.3,$500M-$5B,False,False,12.353520393371582,1.88,3.7,-10.78,2018-11-28,2018-12-03,2018-12-21,False,,-12.9909,2.2109000000000005,True,2018
SSP,E.W. Scripps Co,2018-11-21,2018-11-07,2018-11-21,2706533,3,1001.3,$500M-$5B,False,False,12.353520393371582,1.88,3.7,-10.78,2018-11-28,2018-12-03,2018-12-21,False,,-12.9909,2.2109000000000005,True,2018
MDGL,"Madrigal Pharmaceuticals, Inc.",2018-11-23,2018-11-19,2018-11-20,1216907,2,1745.3,$500M-$5B,False,False,121.91999816894533,-5.14,-1.03,-22.27,2018-11-30,2018-12-03,2018-12-24,False,,-14.5978,-7.6722,False,2018
SSP,E.W. Scripps Co,2018-11-27,2018-11-13,2018-11-27,2578314,3,1001.9,$500M-$5B,False,False,12.585647583007812,-0.81,-2.82,-9.65,2018-12-04,2018-12-07,2018-12-27,False,,-10.5315,0.8814999999999991,True,2018
SSP,E.W. Scripps Co,2018-11-28,2018-11-14,2018-11-28,2601628,3,1015.3,$500M-$5B,False,False,12.803266525268556,-2.21,-6.12,-11.41,2018-12-06,2018-12-10,2018-12-28,False,,-12.4379,1.0279000000000007,True,2018
SSP,E.W. Scripps Co,2018-11-30,2018-11-15,2018-11-29,2973614,3,1031.7,$500M-$5B,False,False,12.810521125793455,-4.53,-6.17,-10.67,2018-12-07,2018-12-10,2018-12-31,False,,-11.9721,1.3020999999999994,True,2018
SSP,E.W. Scripps Co,2018-12-04,2018-11-20,2018-12-04,2703936,3,1007.1,$500M-$5B,False,False,12.520362854003906,-1.91,-5.17,-5.81,2018-12-11,2018-12-14,2019-01-03,False,,-10.0511,4.2411,True,2018
SSP,E.W. Scripps Co,2018-12-07,2018-11-23,2018-12-06,2661859,3,986.6,$500M-$5B,False,False,12.019837379455566,-1.22,-3.88,2.96,2018-12-14,2018-12-17,2019-01-07,False,,-2.7516,5.7116,True,2018
ENR,"Energizer Holdings, Inc.",2018-12-10,2018-12-03,2018-12-06,916400,2,2165.2,$500M-$5B,True,False,37.40797424316406,-1.18,-6.9,-0.83,2018-12-17,2018-12-20,2019-01-09,False,,-0.1544,-0.6756,False,2018
CASH,Meta Financial Group Inc,2018-12-10,2018-12-06,2018-12-07,533700,2,793.6,$500M-$5B,True,False,19.577880859375,-2.27,-5.57,2.66,2018-12-17,2018-12-20,2019-01-09,False,,-0.1544,2.8144,True,2018
SSP,E.W. Scripps Co,2018-12-11,2018-11-27,2018-12-11,2595276,3,990.7,$500M-$5B,False,False,12.41880702972412,-6.56,-11.25,4.04,2018-12-18,2018-12-21,2019-01-10,False,,0.4675,3.5725,True,2018
SSP,E.W. Scripps Co,2018-12-12,2018-11-28,2018-12-12,2550984,3,1001.9,$500M-$5B,False,False,12.105971336364746,-5.41,-9.86,9.38,2018-12-19,2018-12-24,2019-01-11,False,,-0.4552,9.8352,True,2018
LOB,"Live Oak Bancshares, Inc.",2018-12-13,2018-12-12,2018-12-12,5675167,2,592.2,$500M-$5B,True,False,14.409754753112791,-5.93,-4.78,4.65,2018-12-20,2018-12-24,2019-01-14,False,,-0.0308,4.6808000000000005,True,2018
TROX,Tronox Ltd,2018-12-13,2018-12-10,2018-12-11,330316,2,740.8,$500M-$5B,True,False,5.816080093383789,-2.54,-4.54,22.3,2018-12-20,2018-12-24,2019-01-14,False,,-0.0308,22.3308,True,2018
UNFI,United Natural Foods Inc,2018-12-13,2018-12-12,2018-12-12,466859,2,588.9,$500M-$5B,True,False,10.9399995803833,-8.04,-11.24,21.12,2018-12-20,2018-12-24,2019-01-14,False,,-0.0308,21.1508,True,2018
SSP,E.W. Scripps Co,2018-12-14,2018-11-29,2018-12-13,2772560,3,957.8,$500M-$5B,False,False,11.553053855895996,-4.6,-5.54,15.18,2018-12-21,2018-12-24,2019-01-14,False,,1.5049,13.6751,True,2018
PWR,Quanta Services Inc,2018-12-19,2018-12-18,2018-12-19,998923,2,4102.3,$500M-$5B,True,False,28.087242126464844,3.98,5.24,17.13,2018-12-26,2018-12-31,2019-01-18,False,,9.9478,7.182199999999998,True,2018
KOP,Koppers Holdings Inc.,2018-12-19,2018-12-13,2018-12-18,273200,2,351.8,$200M-$500M,True,False,16.631860733032227,-2.15,-0.93,25.29,2018-12-26,2018-12-31,2019-01-18,False,,9.9478,15.342199999999998,True,2018
SSP,E.W. Scripps Co,2018-12-21,2018-12-06,2018-12-20,2363271,3,889.2,$500M-$5B,False,False,10.912835121154783,3.93,4.87,20.8,2018-12-28,2018-12-31,2019-01-22,False,,12.9548,7.8452,True,2018
SSP,E.W. Scripps Co,2018-12-26,2018-12-12,2018-12-26,1662404,2,910.3,$500M-$5B,False,False,11.371175765991213,3.45,8.83,20.15,2019-01-02,2019-01-07,2019-01-25,False,,11.6804,8.469599999999998,True,2018
SSP,E.W. Scripps Co,2018-12-31,2018-12-13,2018-12-27,1841131,2,923.2,$500M-$5B,False,False,11.764036178588867,5.19,9.83,15.21,2019-01-07,2019-01-10,2019-01-30,False,,10.3809,4.8291,True,2018
SSP,E.W. Scripps Co,2019-01-02,2018-12-19,2019-01-02,1518662,2,949.0,$500M-$5B,False,False,11.793136596679688,9.32,12.83,12.58,2019-01-09,2019-01-14,2019-02-01,False,,10.7827,1.7973,True,2019
GEF,Greif Inc,2019-01-02,2018-12-27,2018-12-31,641833,3,1519.5,$500M-$5B,True,False,27.45341682434082,8.45,8.17,8.9,2019-01-09,2019-01-14,2019-02-01,False,,10.7827,-1.8826999999999998,False,2019
SSP,E.W. Scripps Co,2019-01-04,2018-12-20,2019-01-03,1782876,2,983.7,$500M-$5B,False,False,12.37515640258789,7.0,7.52,9.46,2019-01-11,2019-01-14,2019-02-04,False,,10.0372,-0.5771999999999995,False,2019
SSP,E.W. Scripps Co,2019-01-09,2018-12-26,2019-01-09,1632002,2,1040.0,$500M-$5B,False,False,12.920795440673828,4.17,2.03,5.8,2019-01-16,2019-01-22,2019-02-08,False,,4.8635,0.9364999999999997,True,2019
SSP,E.W. Scripps Co,2019-01-11,2018-12-27,2019-01-10,1892392,2,1068.2,$500M-$5B,False,False,13.306384086608888,0.93,-0.93,2.52,2019-01-18,2019-01-22,2019-02-11,False,,5.1643,-2.6443,False,2019
SSP,E.W. Scripps Co,2019-01-16,2019-01-02,2019-01-16,1705405,2,1085.8,$500M-$5B,False,False,13.662869453430176,-1.33,0.11,2.82,2019-01-23,2019-01-28,2019-02-15,False,,8.0958,-5.2758,False,2019
SSP,E.W. Scripps Co,2019-01-18,2019-01-03,2019-01-17,2033726,2,1083.4,$500M-$5B,False,False,13.18270492553711,3.64,3.75,6.68,2019-01-25,2019-01-28,2019-02-19,False,,6.3259,0.35409999999999986,True,2019
SSP,E.W. Scripps Co,2019-01-23,2019-01-09,2019-01-23,1799274,2,1087.5,$500M-$5B,False,False,13.473712921142578,0.59,0.54,7.51,2019-01-30,2019-02-04,2019-02-22,False,,9.3707,-1.8606999999999996,False,2019
SSP,E.W. Scripps Co,2019-01-25,2019-01-10,2019-01-24,2030195,2,1102.2,$500M-$5B,False,False,13.67741870880127,-2.93,-0.96,4.95,2019-02-01,2019-02-04,2019-02-25,False,,7.3639,-2.4139,False,2019
SSP,E.W. Scripps Co,2019-02-01,2019-01-17,2019-01-31,1772936,2,1071.1,$500M-$5B,False,False,13.546464920043944,0.91,0.7,20.35,2019-02-08,2019-02-11,2019-03-04,False,,5.1147,15.235300000000002,True,2019
SSP,E.W. Scripps Co,2019-02-06,2019-01-23,2019-02-06,1468206,2,1105.2,$500M-$5B,False,False,13.575566291809082,2.57,3.59,20.04,2019-02-13,2019-02-19,2019-03-08,False,,0.4704,19.569599999999998,True,2019
NFE,New Fortress Energy LLC,2019-02-06,2019-02-04,2019-02-04,70000000,2,3511.2,$500M-$5B,False,True,12.345359802246094,-0.43,-0.43,1.56,2019-02-13,2019-02-19,2019-03-08,False,,0.4704,1.0896000000000001,True,2019
SSP,E.W. Scripps Co,2019-02-08,2019-01-24,2019-02-07,1728985,2,1102.8,$500M-$5B,False,False,13.641043663024902,2.99,3.09,22.08,2019-02-15,2019-02-19,2019-03-11,False,,2.963,19.116999999999997,True,2019
SSP,E.W. Scripps Co,2019-02-13,2019-01-31,2019-02-13,1461113,2,1123.3,$500M-$5B,False,False,14.026630401611328,2.7,2.33,16.44,2019-02-20,2019-02-25,2019-03-15,False,,0.8734,15.566600000000001,True,2019
SSP,E.W. Scripps Co,2019-02-21,2019-02-06,2019-02-20,1136538,2,1159.1,$500M-$5B,False,False,14.484970092773438,6.23,12.56,8.57,2019-02-28,2019-03-04,2019-03-25,False,,-3.8965,12.4665,True,2019
MAT,Mattel Inc /de/,2019-02-25,2019-02-21,2019-02-22,1280379,2,4828.7,$500M-$5B,False,False,14.380000114440918,3.48,1.18,-8.48,2019-03-04,2019-03-07,2019-03-27,False,,-4.1196,-4.3604,False,2019
XBIT,Xbiotech Inc.,2019-03-04,2018-12-21,2018-12-24,1457217,2,285.8,$200M-$500M,False,False,8.220132827758789,5.35,-4.72,14.88,2019-03-11,2019-03-14,2019-04-03,False,,-0.7884,15.6684,True,2019
BCO,Brinks Co,2019-03-11,2019-03-08,2019-03-08,946420,2,3464.6,$500M-$5B,False,False,70.58353424072266,1.46,2.26,3.58,2019-03-18,2019-03-21,2019-04-10,False,,2.2291,1.3509000000000002,True,2019
RILY,"B. Riley Financial, Inc.",2019-03-15,2019-03-06,2019-03-14,1183903,3,266.2,$200M-$500M,False,False,9.967933654785156,-3.41,-0.71,0.47,2019-03-22,2019-03-25,2019-04-15,False,,1.828,-1.358,False,2019
ESPR,"Esperion Therapeutics, Inc.",2019-03-21,2019-03-14,2019-03-20,2955405,2,1186.5,$500M-$5B,False,False,41.38999938964844,-3.09,-2.9,0.8,2019-03-28,2019-04-01,2019-04-22,False,,-0.0258,0.8258000000000001,True,2019
CWH,"Camping World Holdings, Inc.",2019-03-21,2019-03-08,2019-03-19,2405819,2,867.3,$500M-$5B,False,False,9.223630905151367,7.16,5.35,1.43,2019-03-28,2019-04-01,2019-04-22,False,,-0.0258,1.4558,True,2019
NFE,New Fortress Energy LLC,2019-03-29,2019-03-28,2019-03-29,13640322,2,1721.9,$500M-$5B,False,False,9.772675514221191,13.66,10.96,14.91,2019-04-05,2019-04-08,2019-04-29,False,,3.8801,11.0299,True,2019
HOOK,Hookipa Pharma Inc.,2019-04-25,2019-04-23,2019-04-23,5749982,2,3054.8,$500M-$5B,False,False,140.0,-1.5,-1.79,-32.5,2019-05-02,2019-05-06,2019-05-28,False,,-4.5678,-27.9322,False,2019
WTRE,Watford Holdings Ltd.,2019-05-14,2019-05-08,2019-05-14,351078,2,544.0,$500M-$5B,True,False,24.054563522338867,0.16,-0.26,0.97,2019-05-21,2019-05-24,2019-06-13,False,,-0.3061,1.2761,True,2019
MIST,Milestone Pharmaceuticals Inc.,2019-05-15,2019-05-13,2019-05-13,11499990,2,431.5,$200M-$500M,False,False,19.01000022888184,7.84,12.62,9.0,2019-05-22,2019-05-28,2019-06-14,False,,-1.4996,10.499600000000001,True,2019
AMG,"Affiliated Managers Group, Inc.",2019-05-17,2019-05-10,2019-05-13,1128941,2,4492.9,$500M-$5B,True,False,87.46729278564453,-0.26,-2.02,-1.47,2019-05-24,2019-05-28,2019-06-17,False,,-0.0415,-1.4284999999999999,False,2019
ARR,"Armour Residential Reit, Inc.",2019-05-23,2019-05-22,2019-05-22,2869200,2,1921.6,$500M-$5B,True,False,32.29777145385742,-3.86,-0.72,2.32,2019-05-30,2019-06-03,2019-06-24,False,,2.1595,0.16049999999999986,True,2019
RM,Regional Management Corp.,2019-05-28,2019-05-28,2019-05-28,3151102,2,237.6,$200M-$500M,True,False,21.07177734375,-2.51,-2.12,-0.47,2019-06-04,2019-06-07,2019-06-27,False,,3.0628,-3.5328,False,2019
CWH,"Camping World Holdings, Inc.",2019-05-28,2019-05-09,2019-05-23,9394120,2,685.1,$500M-$5B,True,False,7.491591930389404,12.35,10.96,15.94,2019-06-04,2019-06-07,2019-06-27,False,,3.0628,12.877199999999998,True,2019
CWH,"Camping World Holdings, Inc.",2019-06-10,2019-05-23,2019-06-06,2575351,2,737.0,$500M-$5B,True,False,8.604548454284668,-0.12,0.2,-4.3,2019-06-17,2019-06-20,2019-07-10,False,,2.9448,-7.2448,False,2019
