ticker,company_name,signal_date,cluster_start,cluster_end,total_usd,unique_insiders,opportunistic_count,routine_insiders,insider_details,insider_vwap,market_cap_m,mcap_band,price,high_52w,low_52w,drawdown_52w_pct,near_52w_low,pre_cluster_close,pre_cluster_crash_pct,cmp_reliable,shares_approximate,entry_price,outcome_7d,outcome_10d,outcome_30d,outcome_60d,outcome_90d,outcome_180d,outcome_7d_date,outcome_10d_date,outcome_30d_date,outcome_60d_date,outcome_90d_date,outcome_180d_date,iwm_7d,iwm_10d,iwm_30d,iwm_60d,iwm_90d,iwm_180d,alpha_7d,alpha_10d,alpha_30d,alpha_60d,alpha_90d,alpha_180d,delisted_or_acquired,notes
RILY,"BRC Group Holdings, Inc.",2023-01-09,2022-12-14,2023-01-09,8583730,3,3,,"[{""name"": ""Riley Bryant R"", ""role"": ""COB, Co-CEO, 10%"", ""date"": ""2022-12-14"", ""price"": 41.31, ""value"": 2624145.0}, {""name"": ""Sheldon Michael Joseph"", ""role"": ""Dir"", ""date"": ""2022-12-16"", ""price"": 39.86, ""value"": 399627.0}, {""name"": ""Riley Bryant R"", ""role"": ""COB, Co-CEO, 10%"", ""date"": ""2022-12-16"", ""price"": 40.13, ""value"": 4815612.0}, {""name"": ""Paulson Randall E"", ""role"": ""Dir"", ""date"": ""2023-01-09"", ""price"": 37.22, ""value"": 744346.0}]",40.2,904.0,$500M-$3B,31.77884864807129,68.35873413085938,27.21218681335449,-53.5,False,39.23061752319336,2.5,True,False,32.308074951171875,8.3,3.59,4.62,-13.09,-30.13,29.5,2023-01-17,2023-01-19,2023-02-08,2023-03-10,2023-04-10,2023-07-10,3.4957,0.8476,6.7642,-2.3988,-2.2777,4.7507,4.8043,2.7424,-2.1442,-10.6912,-27.8523,24.7493,False,
TFIN,"Triumph Financial, Inc.",2023-01-30,2023-01-30,2023-01-30,3599371,5,5,,"[{""name"": ""Barnes Harrison B."", ""role"": ""Dir"", ""date"": ""2023-01-30"", ""price"": 54.79, ""value"": 214837.0}, {""name"": ""Sepulveda Carlos M"", ""role"": ""Dir"", ""date"": ""2023-01-30"", ""price"": 54.47, ""value"": 2560090.0}, {""name"": ""Easley Laura"", ""role"": ""Dir"", ""date"": ""2023-01-30"", ""price"": 53.19, ""value"": 100795.0}, {""name"": ""Sparks C Todd"", ""role"": ""Dir"", ""date"": ""2023-01-30"", ""price"": 55.08, ""value"": 523300.0}, {""name"": ""Anderson Charles A"", ""role"": ""Dir"", ""date"": ""2023-01-30"", ""price"": 54.89, ""value"": 200349.0}]",54.56,1314.3,$500M-$3B,54.63999938964844,100.56999969482422,45.9900016784668,-45.7,False,53.97999954223633,1.1,True,False,55.72999954223633,13.17,12.49,8.09,4.18,-8.04,27.24,2023-02-06,2023-02-09,2023-03-01,2023-03-31,2023-05-01,2023-07-31,1.3892,-0.8095,-1.5981,-6.4872,-8.1122,4.4472,11.7808,13.2995,9.6881,10.6672,0.0722,22.7928,False,
RILY,"BRC Group Holdings, Inc.",2023-02-08,2023-01-09,2023-02-08,6980062,3,3,,"[{""name"": ""Paulson Randall E"", ""role"": ""Dir"", ""date"": ""2023-01-09"", ""price"": 37.22, ""value"": 744346.0}, {""name"": ""Riley Bryant R"", ""role"": ""COB, Co-CEO, 10%"", ""date"": ""2023-02-08"", ""price"": 40.18, ""value"": 5460788.0}, {""name"": ""Moore Andrew"", ""role"": ""CEO B. Riley Securities, Inc."", ""date"": ""2023-02-08"", ""price"": 38.75, ""value"": 774928.0}]",39.68,961.6,$500M-$3B,33.80183792114258,57.968143463134766,27.21218490600586,-41.7,False,30.882587432861328,28.5,True,False,33.74208450317383,14.17,2.78,-16.78,-33.1,1.69,47.88,2023-02-15,2023-02-21,2023-03-10,2023-04-10,2023-05-09,2023-08-07,2.3851,-1.3163,-7.2395,-7.1245,-8.2976,2.9627,11.7849,4.0963,-9.5405,-25.9755,9.9876,44.9173,False,
MLYS,"Mineralys Therapeutics, Inc.",2023-02-14,2023-02-14,2023-02-14,19100000,3,3,,"[{""name"": ""Levy Adam Scott"", ""role"": ""CFO, Chief Bus. Officer, Secy."", ""date"": ""2023-02-14"", ""price"": 16.0, ""value"": 100000.0}, {""name"": ""Akkaraju Srinivas"", ""role"": ""Dir, 10%"", ""date"": ""2023-02-14"", ""price"": 16.0, ""value"": 15000000.0}, {""name"": ""Slingsby Brian Taylor"", ""role"": ""Dir, 10%"", ""date"": ""2023-02-14"", ""price"": 16.0, ""value"": 4000000.0}]",16.0,703.4,$500M-$3B,18.010000228881836,,,,False,18.540000915527344,-13.7,True,False,18.030000686645508,0.11,-0.72,-14.7,-24.85,-10.21,-26.51,2023-02-21,2023-02-24,2023-03-16,2023-04-17,2023-05-15,2023-08-14,-3.6152,-3.574,-9.5033,-7.7241,-9.7629,-1.3198,3.7252,2.854,-5.1967,-17.1259,-0.4471,-25.1902,False,
LNKB,"LINKBANCORP, Inc.",2023-02-21,2023-02-21,2023-02-21,8600015,3,3,,"[{""name"": ""Koppenhaver David H"", ""role"": ""Dir"", ""date"": ""2023-02-21"", ""price"": 7.8, ""value"": 800023.0}, {""name"": ""Snyder Kristen"", ""role"": ""Dir"", ""date"": ""2023-02-21"", ""price"": 7.8, ""value"": 299996.0}, {""name"": ""Parmer George"", ""role"": ""Dir"", ""date"": ""2023-02-21"", ""price"": 7.8, ""value"": 7499996.0}]",7.8,253.5,$200M-$500M,6.766836166381836,9.866246223449709,6.362156391143799,-31.4,True,7.183257579803467,8.6,True,True,6.896966934204102,1.58,0.94,-19.63,-16.83,-34.99,-10.79,2023-02-28,2023-03-03,2023-03-23,2023-04-24,2023-05-22,2023-08-21,0.1277,1.8942,-9.0783,-5.2385,-4.8006,-1.2595,1.4523,-0.9542,-10.5517,-11.5915,-30.1894,-9.5305,False,
RILY,"BRC Group Holdings, Inc.",2023-03-10,2023-02-08,2023-03-10,7645648,4,4,,"[{""name"": ""Riley Bryant R"", ""role"": ""COB, Co-CEO, 10%"", ""date"": ""2023-02-08"", ""price"": 40.18, ""value"": 5460788.0}, {""name"": ""Moore Andrew"", ""role"": ""CEO B. Riley Securities, Inc."", ""date"": ""2023-02-08"", ""price"": 38.75, ""value"": 774928.0}, {""name"": ""D Agostino Robert P"", ""role"": ""Dir"", ""date"": ""2023-02-09"", ""price"": 40.59, ""value"": 507396.0}, {""name"": ""Paulson Randall E"", ""role"": ""Dir"", ""date"": ""2023-02-23"", ""price"": 36.85, ""value"": 368495.0}, {""name"": ""Moore Andrew"", ""role"": ""CEO B. Riley Securities, Inc."", ""date"": ""2023-02-24"", ""price"": 36.78, ""value"": 367774.0}, {""name"": ""Moore Andrew"", ""role"": ""CEO B. Riley Securities, Inc."", ""date"": ""2023-03-10"", ""price"": 33.25, ""value"": 166267.0}]",39.53,800.9,$500M-$3B,28.07984733581543,57.9681396484375,27.21218681335449,-51.6,True,39.75130081176758,-0.6,True,False,26.25045394897461,-0.7,0.1,-14.0,30.71,29.85,66.43,2023-03-17,2023-03-20,2023-04-10,2023-05-09,2023-06-08,2023-09-06,-1.2001,0.0808,1.7821,0.4964,8.33,8.0919,0.5001,0.0192,-15.7821,30.2136,21.52,58.3381,False,
RILY,"BRC Group Holdings, Inc.",2023-03-17,2023-02-23,2023-03-17,2211386,4,4,,"[{""name"": ""Paulson Randall E"", ""role"": ""Dir"", ""date"": ""2023-02-23"", ""price"": 36.85, ""value"": 368495.0}, {""name"": ""Moore Andrew"", ""role"": ""CEO B. Riley Securities, Inc."", ""date"": ""2023-02-24"", ""price"": 36.78, ""value"": 367774.0}, {""name"": ""Moore Andrew"", ""role"": ""CEO B. Riley Securities, Inc."", ""date"": ""2023-03-10"", ""price"": 33.25, ""value"": 166267.0}, {""name"": ""Kelleher Thomas J /adv"", ""role"": ""Co-CEO"", ""date"": ""2023-03-15"", ""price"": 31.13, ""value"": 311301.0}, {""name"": ""Paulson Randall E"", ""role"": ""Dir"", ""date"": ""2023-03-15"", ""price"": 30.93, ""value"": 154659.0}, {""name"": ""Antin Robert L"", ""role"": ""Dir"", ""date"": ""2023-03-16"", ""price"": 30.22, ""value"": 543899.0}, {""name"": ""Paulson Randall E"", ""role"": ""Dir"", ""date"": ""2023-03-17"", ""price"": 29.9, ""value"": 298991.0}]",32.52,800.6,$500M-$3B,26.06664276123047,57.9681396484375,26.25045585632324,-55.0,True,38.52214431762695,-15.6,True,False,26.27671432495117,-10.19,-5.63,-1.13,15.62,40.7,55.88,2023-03-24,2023-03-27,2023-04-17,2023-05-16,2023-06-15,2023-09-13,-0.5916,0.5137,3.4533,-0.308,8.7649,6.1711,-9.5984,-6.1437,-4.5833,15.928,31.9351,49.7089,False,
BNL,"Broadstone Net Lease, Inc.",2023-03-17,2023-02-27,2023-03-17,383019,3,3,,"[{""name"": ""Coke Michael A"", ""role"": ""Dir"", ""date"": ""2023-02-27"", ""price"": 17.92, ""value"": 179200.0}, {""name"": ""Moragne John David"", ""role"": ""CEO"", ""date"": ""2023-03-17"", ""price"": 16.72, ""value"": 100019.0}, {""name"": ""Albano Ryan M"", ""role"": ""Pres, COO"", ""date"": ""2023-03-17"", ""price"": 16.74, ""value"": 103800.0}]",17.27,2645.3,$500M-$3B,13.302576065063477,17.480060577392578,11.864829063415527,-23.9,True,14.666330337524414,17.8,True,False,13.51790714263916,-0.88,-1.12,-2.48,-4.94,-1.64,-2.11,2023-03-24,2023-03-27,2023-04-17,2023-05-16,2023-06-15,2023-09-13,-0.5916,0.5137,3.4533,-0.308,8.7649,6.1711,-0.2884,-1.6337,-5.9333,-4.632,-10.4049,-8.2811,False,
ZION,"Zions Bancorporation, National Association",2023-05-04,2023-04-28,2023-05-04,2730977,5,5,,"[{""name"": ""McLean Scott J"", ""role"": ""Pres"", ""date"": ""2023-04-28"", ""price"": 27.44, ""value"": 1015280.0}, {""name"": ""Burdiss Paul E."", ""role"": ""EVP"", ""date"": ""2023-05-01"", ""price"": 27.42, ""value"": 548435.0}, {""name"": ""Simmons Harris H"", ""role"": ""COB, CEO"", ""date"": ""2023-05-03"", ""price"": 24.16, ""value"": 483200.0}, {""name"": ""Huang Claire A"", ""role"": ""Dir"", ""date"": ""2023-05-04"", ""price"": 20.01, ""value"": 480282.0}, {""name"": ""Robinson Rebecca K"", ""role"": ""EVP"", ""date"": ""2023-05-04"", ""price"": 20.38, ""value"": 203780.0}]",24.6,2769.8,$500M-$3B,17.717039108276367,51.5940055847168,20.143911361694336,-65.7,True,29.086875915527344,-15.4,True,False,21.121767044067383,-4.55,2.4,23.0,20.51,56.87,33.65,2023-05-11,2023-05-15,2023-06-05,2023-07-03,2023-08-02,2023-10-31,-0.7911,0.2178,2.9407,7.8645,12.1527,-4.9872,-3.7589,2.1822,20.0593,12.6455,44.7173,38.6372,False,
STEL,"Stellar Bancorp, Inc.",2023-05-04,2023-05-02,2023-05-04,3506088,3,3,,"[{""name"": ""Penland Joe Sr"", ""role"": ""Dir"", ""date"": ""2023-05-02"", ""price"": 21.68, ""value"": 1723792.0}, {""name"": ""Wilson William E Jr"", ""role"": ""Dir"", ""date"": ""2023-05-02"", ""price"": 21.97, ""value"": 449130.0}, {""name"": ""Williams John E Jr"", ""role"": ""Dir"", ""date"": ""2023-05-03"", ""price"": 21.96, ""value"": 988290.0}, {""name"": ""Penland Joe Sr"", ""role"": ""Dir"", ""date"": ""2023-05-04"", ""price"": 20.92, ""value"": 344876.0}]",21.72,1079.7,$500M-$3B,20.25609397888184,33.48271179199219,19.77604866027832,-39.5,True,21.592697143554688,0.6,True,False,21.357378005981445,-6.74,-3.04,7.8,2.81,8.74,-3.12,2023-05-11,2023-05-15,2023-06-05,2023-07-03,2023-08-02,2023-10-31,-0.7911,0.2178,2.9407,7.8645,12.1527,-4.9872,-5.9489,-3.2578,4.8593,-5.0545,-3.4127,1.8672,False,
SFNC,Simmons First National Corporation,2023-05-12,2023-04-28,2023-05-12,587090,3,3,,"[{""name"": ""Massanelli Stephen C"", ""role"": ""EVP"", ""date"": ""2023-04-28"", ""price"": 16.44, ""value"": 164390.0}, {""name"": ""Fehlman Robert A"", ""role"": ""CEO"", ""date"": ""2023-05-01"", ""price"": 16.5, ""value"": 198000.0}, {""name"": ""Brogdon James M"", ""role"": ""Pres, CFO"", ""date"": ""2023-05-12"", ""price"": 14.98, ""value"": 224700.0}]",15.87,1696.0,$500M-$3B,13.284553527832031,21.883575439453125,13.117838859558104,-39.3,True,14.890280723571776,6.6,True,False,13.68817901611328,3.78,7.5,16.99,12.62,24.28,-1.01,2023-05-19,2023-05-22,2023-06-12,2023-07-11,2023-08-10,2023-11-08,0.7321,1.9619,6.569,8.8633,9.3909,-2.1107,3.0479,5.5381,10.421,3.7567,14.8891,1.1007,False,
PRAA,"PRA Group, Inc.",2023-06-02,2023-05-17,2023-06-02,1272900,4,4,,"[{""name"": ""Tabakin Scott M"", ""role"": ""Dir"", ""date"": ""2023-05-17"", ""price"": 19.07, ""value"": 228840.0}, {""name"": ""Paschke Brett Lee"", ""role"": ""Dir"", ""date"": ""2023-05-17"", ""price"": 18.91, ""value"": 141825.0}, {""name"": ""Atal Vikram A"", ""role"": ""Pres, CEO"", ""date"": ""2023-05-18"", ""price"": 18.81, ""value"": 752250.0}, {""name"": ""Connelly Marjorie Mary"", ""role"": ""Dir"", ""date"": ""2023-06-02"", ""price"": 20.2, ""value"": 149985.0}]",19.02,836.6,$500M-$3B,21.100000381469727,42.560001373291016,18.26000022888184,-50.4,False,34.70000076293945,-45.2,True,False,20.920000076293945,10.23,11.76,10.99,12.24,-6.88,-13.05,2023-06-09,2023-06-12,2023-07-03,2023-08-01,2023-08-31,2023-11-29,3.3202,3.7502,4.7832,10.4509,5.3192,0.4109,6.9098,8.0098,6.2068,1.7891,-12.1992,-13.4609,False,
